BIO_ZONE,observation,severity
Balsam-fir-yellow birch,775,5.375612441
Balsam-fir-yellow birch,776,32.87788195
Balsam-fir-yellow birch,777,32.87788195
Balsam-fir-yellow birch,778,32.87788195
Balsam-fir-yellow birch,779,32.87788195
Balsam-fir-yellow birch,780,32.87788195
Balsam-fir-yellow birch,781,49.10558584
Balsam-fir-yellow birch,782,49.10558584
Balsam-fir-yellow birch,783,49.10558584
Balsam-fir-yellow birch,784,49.10558584
Balsam-fir-yellow birch,785,9.866967017
Balsam-fir-yellow birch,786,9.866967017
Balsam-fir-yellow birch,787,13.95404071
Balsam-fir-yellow birch,788,13.95404071
Balsam-fir-yellow birch,789,13.95404071
Balsam-fir-yellow birch,790,13.95404071
Balsam-fir-yellow birch,791,13.95404071
Balsam-fir-yellow birch,792,58.54415713
Balsam-fir-yellow birch,793,58.54415713
Balsam-fir-yellow birch,794,58.54415713
Balsam-fir-yellow birch,795,58.54415713
Balsam-fir-yellow birch,796,100
Balsam-fir-yellow birch,797,100
Balsam-fir-yellow birch,798,100
Balsam-fir-yellow birch,799,100
Balsam-fir-yellow birch,800,100
Balsam-fir-yellow birch,801,50.51138041
Balsam-fir-yellow birch,802,50.51138041
Balsam-fir-yellow birch,803,50.51138041
Balsam-fir-yellow birch,804,50.51138041
Balsam-fir-yellow birch,805,50.51138041
Balsam-fir-yellow birch,806,31.25884506
Balsam-fir-yellow birch,807,31.25884506
Balsam-fir-yellow birch,808,31.25884506
Balsam-fir-yellow birch,809,31.25884506
Balsam-fir-yellow birch,810,31.25884506
Balsam-fir-yellow birch,811,24.68748419
Balsam-fir-yellow birch,812,24.68748419
Balsam-fir-yellow birch,813,24.68748419
Balsam-fir-yellow birch,814,16.06688107
Balsam-fir-yellow birch,815,16.06688107
Balsam-fir-yellow birch,816,52.33413388
Balsam-fir-yellow birch,817,52.33413388
Balsam-fir-yellow birch,818,52.33413388
Balsam-fir-yellow birch,819,52.33413388
Balsam-fir-yellow birch,820,42.36609345
Balsam-fir-yellow birch,821,42.36609345
Balsam-fir-yellow birch,822,42.36609345
Balsam-fir-yellow birch,823,42.36609345
Balsam-fir-yellow birch,824,42.36609345
Balsam-fir-yellow birch,825,6.092255493
Balsam-fir-yellow birch,826,6.092255493
Balsam-fir-yellow birch,827,6.092255493
Balsam-fir-yellow birch,828,6.092255493
Balsam-fir-yellow birch,829,6.092255493
Balsam-fir-yellow birch,830,21.27933835
