TSO_yrs,BIO_ZONE,SEVERITY_cl,se_Live_C,n_Live_C,se_Dead_C_new_h,n_Dead_C_new_h,ci_Live_C_lower,ci_Live_C_upper,ci_Dead_C_lower,ci_Dead_C_upper,Carbon_Type,Mean_Carbon
9,Balsam_fir-yellow_birch,Low,3.79,37,0.21,37.00,45.22,60.09,0.92,1.74,Dead_Carbon,1.33
9,Balsam_fir-yellow_birch,Moderate,2.09,52,0.89,52.00,36.49,44.67,6.95,10.46,Live_Carbon,40.58
9,Balsam_fir-yellow_birch,Moderate,2.09,52,0.89,52.00,36.49,44.67,6.95,10.46,Dead_Carbon,8.70
9,Balsam_fir-yellow_birch,High,2.49,43,1.84,43.00,14.07,23.83,14.16,21.38,Live_Carbon,18.95
9,Balsam_fir-yellow_birch,High,2.49,43,1.84,43.00,14.07,23.83,14.16,21.38,Dead_Carbon,17.77
10,Balsam_fir-white_birch,High,2.70,10,4.42,10.00,23.14,33.74,17.94,35.27,Live_Carbon,28.44
10,Balsam_fir-white_birch,High,2.70,10,4.42,10.00,23.14,33.74,17.94,35.27,Dead_Carbon,26.60
11,Balsam_fir-white_birch,Low,5.51,12,0.54,12.00,46.92,68.50,0.66,2.78,Live_Carbon,57.71
11,Balsam_fir-white_birch,Low,5.51,12,0.54,12.00,46.92,68.50,0.66,2.78,Dead_Carbon,1.72
11,Balsam_fir-white_birch,Moderate,3.77,18,1.40,18.00,45.32,60.09,2.24,7.70,Live_Carbon,52.71
11,Balsam_fir-white_birch,Moderate,3.77,18,1.40,18.00,45.32,60.09,2.24,7.70,Dead_Carbon,4.97
11,Balsam_fir-white_birch,High,4.34,26,4.17,26.00,17.58,34.59,25.82,42.18,Live_Carbon,26.08
11,Balsam_fir-white_birch,High,4.34,26,4.17,26.00,17.58,34.59,25.82,42.18,Dead_Carbon,34.00
12,Balsam_fir-white_birch,Moderate,3.67,22,1.39,22.00,36.21,50.62,5.53,11.00,Live_Carbon,43.42
12,Balsam_fir-white_birch,Moderate,3.67,22,1.39,22.00,36.21,50.62,5.53,11.00,Dead_Carbon,8.26
12,Balsam_fir-white_birch,High,3.70,19,3.59,19.00,25.37,39.87,15.58,29.64,Live_Carbon,32.62
12,Balsam_fir-white_birch,High,3.70,19,3.59,19.00,25.37,39.87,15.58,29.64,Dead_Carbon,22.61
12,Balsam_fir-yellow_birch,Low,4.88,19,0.37,19.00,46.70,65.83,0.47,1.92,Live_Carbon,56.26
12,Balsam_fir-yellow_birch,Low,4.88,19,0.37,19.00,46.70,65.83,0.47,1.92,Dead_Carbon,1.20
13,Balsam_fir-white_birch,Moderate,4.23,11,2.27,11.00,35.71,52.28,3.83,12.73,Live_Carbon,44.00
13,Balsam_fir-white_birch,Moderate,4.23,11,2.27,11.00,35.71,52.28,3.83,12.73,Dead_Carbon,8.28
13,Balsam_fir-white_birch,High,3.44,14,3.32,14.00,15.89,29.38,24.52,37.55,Live_Carbon,22.63
13,Balsam_fir-white_birch,High,3.44,14,3.32,14.00,15.89,29.38,24.52,37.55,Dead_Carbon,31.04
18,Balsam_fir-white_birch,Low,4.65,15,0.27,15.00,36.86,55.10,0.74,1.79,Live_Carbon,45.98
18,Balsam_fir-white_birch,Low,4.65,15,0.27,15.00,36.86,55.10,0.74,1.79,Dead_Carbon,1.26
18,Balsam_fir-white_birch,Moderate,2.96,20,1.16,20.00,44.07,55.67,4.91,9.46,Live_Carbon,49.87
18,Balsam_fir-white_birch,Moderate,2.96,20,1.16,20.00,44.07,55.67,4.91,9.46,Dead_Carbon,7.19
18,Balsam_fir-white_birch,High,1.73,44,2.85,44.00,21.55,28.34,13.48,24.66,Live_Carbon,24.94
18,Balsam_fir-white_birch,High,1.73,44,2.85,44.00,21.55,28.34,13.48,24.66,Dead_Carbon,19.07
